geoid,name,median_income
09003473502,"Census Tract 4735.02, Hartford County, Connecticut",93765
09003473601,"Census Tract 4736.01, Hartford County, Connecticut",113194
09003473602,"Census Tract 4736.02, Hartford County, Connecticut",79375
09003473700,"Census Tract 4737, Hartford County, Connecticut",95388
09003473800,"Census Tract 4738, Hartford County, Connecticut",64818
09003476100,"Census Tract 4761, Hartford County, Connecticut",73007
09003476200,"Census Tract 4762, Hartford County, Connecticut",89583
09003476300,"Census Tract 4763, Hartford County, Connecticut",78352
09003477101,"Census Tract 4771.01, Hartford County, Connecticut",117768
09003477103,"Census Tract 4771.03, Hartford County, Connecticut",117306
09003477104,"Census Tract 4771.04, Hartford County, Connecticut",NA
09003477200,"Census Tract 4772, Hartford County, Connecticut",108375
09003480300,"Census Tract 4803, Hartford County, Connecticut",84430
09003480400,"Census Tract 4804, Hartford County, Connecticut",91321
09003480500,"Census Tract 4805, Hartford County, Connecticut",85438
09003480600,"Census Tract 4806, Hartford County, Connecticut",38533
09003480700,"Census Tract 4807, Hartford County, Connecticut",52817
09003480800,"Census Tract 4808, Hartford County, Connecticut",81538
09003480900,"Census Tract 4809, Hartford County, Connecticut",111875
09003481000,"Census Tract 4810, Hartford County, Connecticut",135363
09003481100,"Census Tract 4811, Hartford County, Connecticut",84375
09003481200,"Census Tract 4812, Hartford County, Connecticut",84221
09003481300,"Census Tract 4813, Hartford County, Connecticut",96078
09003484100,"Census Tract 4841, Hartford County, Connecticut",74586
09003484200,"Census Tract 4842, Hartford County, Connecticut",106186
09003487100,"Census Tract 4871, Hartford County, Connecticut",128750
09003487201,"Census Tract 4872.01, Hartford County, Connecticut",135327
09003487202,"Census Tract 4872.02, Hartford County, Connecticut",184135
09003487300,"Census Tract 4873, Hartford County, Connecticut",133750
09003487400,"Census Tract 4874, Hartford County, Connecticut",136250
09003487500,"Census Tract 4875, Hartford County, Connecticut",102676
09003490100,"Census Tract 4901, Hartford County, Connecticut",64593
09003490303,"Census Tract 4903.03, Hartford County, Connecticut",101480
09003490304,"Census Tract 4903.04, Hartford County, Connecticut",105750
09003492100,"Census Tract 4921, Hartford County, Connecticut",118857
09003492200,"Census Tract 4922, Hartford County, Connecticut",108897
09003492300,"Census Tract 4923, Hartford County, Connecticut",77600
09003492400,"Census Tract 4924, Hartford County, Connecticut",97386
09003492500,"Census Tract 4925, Hartford County, Connecticut",127344
09003492600,"Census Tract 4926, Hartford County, Connecticut",110391
09003494100,"Census Tract 4941, Hartford County, Connecticut",93068
09003494201,"Census Tract 4942.01, Hartford County, Connecticut",83272
09003494202,"Census Tract 4942.02, Hartford County, Connecticut",107143
09003494300,"Census Tract 4943, Hartford County, Connecticut",95556
09003494400,"Census Tract 4944, Hartford County, Connecticut",91875
09003494500,"Census Tract 4945, Hartford County, Connecticut",90282
09003494600,"Census Tract 4946, Hartford County, Connecticut",81184
09003496100,"Census Tract 4961, Hartford County, Connecticut",56734
09003496200,"Census Tract 4962, Hartford County, Connecticut",80068
09003496300,"Census Tract 4963, Hartford County, Connecticut",116927
09003496400,"Census Tract 4964, Hartford County, Connecticut",165387
09003496500,"Census Tract 4965, Hartford County, Connecticut",133650
09003496600,"Census Tract 4966, Hartford County, Connecticut",138456
09003496700,"Census Tract 4967, Hartford County, Connecticut",84167
09003496800,"Census Tract 4968, Hartford County, Connecticut",80680
09003496900,"Census Tract 4969, Hartford County, Connecticut",92527
09003497000,"Census Tract 4970, Hartford County, Connecticut",190909
09003497100,"Census Tract 4971, Hartford County, Connecticut",76402
09003497200,"Census Tract 4972, Hartford County, Connecticut",114038
09003497300,"Census Tract 4973, Hartford County, Connecticut",144306
09003497400,"Census Tract 4974, Hartford County, Connecticut",185962
09003497500,"Census Tract 4975, Hartford County, Connecticut",114125
09003497600,"Census Tract 4976, Hartford County, Connecticut",143828
09003497700,"Census Tract 4977, Hartford County, Connecticut",175119
09003500100,"Census Tract 5001, Hartford County, Connecticut",30677
09003500200,"Census Tract 5002, Hartford County, Connecticut",22500
09003500300,"Census Tract 5003, Hartford County, Connecticut",18185
09003500400,"Census Tract 5004, Hartford County, Connecticut",44792
09003500500,"Census Tract 5005, Hartford County, Connecticut",49583
09003500900,"Census Tract 5009, Hartford County, Connecticut",22830
09003501200,"Census Tract 5012, Hartford County, Connecticut",21719
09003501300,"Census Tract 5013, Hartford County, Connecticut",19032
09003501400,"Census Tract 5014, Hartford County, Connecticut",22309
09003501500,"Census Tract 5015, Hartford County, Connecticut",27371
09003501700,"Census Tract 5017, Hartford County, Connecticut",30750
09003501800,"Census Tract 5018, Hartford County, Connecticut",19848
09003502100,"Census Tract 5021, Hartford County, Connecticut",86343
09003502300,"Census Tract 5023, Hartford County, Connecticut",68583
09003502400,"Census Tract 5024, Hartford County, Connecticut",47766
09003502500,"Census Tract 5025, Hartford County, Connecticut",34375
09003502600,"Census Tract 5026, Hartford County, Connecticut",56454
09003502700,"Census Tract 5027, Hartford County, Connecticut",28490
09003502800,"Census Tract 5028, Hartford County, Connecticut",28626
09003502900,"Census Tract 5029, Hartford County, Connecticut",60536
09003503000,"Census Tract 5030, Hartford County, Connecticut",25370
09003503101,"Census Tract 5031.01, Hartford County, Connecticut",27081
09003503102,"Census Tract 5031.02, Hartford County, Connecticut",29914
09003503300,"Census Tract 5033, Hartford County, Connecticut",34964
09003503500,"Census Tract 5035, Hartford County, Connecticut",37813
09003503700,"Census Tract 5037, Hartford County, Connecticut",29978
09003503800,"Census Tract 5038, Hartford County, Connecticut",11715
09003503900,"Census Tract 5039, Hartford County, Connecticut",45699
09003504000,"Census Tract 5040, Hartford County, Connecticut",59583
09003504100,"Census Tract 5041, Hartford County, Connecticut",38266
09003504200,"Census Tract 5042, Hartford County, Connecticut",28370
09003504300,"Census Tract 5043, Hartford County, Connecticut",43333
09003504500,"Census Tract 5045, Hartford County, Connecticut",40711
09003504800,"Census Tract 5048, Hartford County, Connecticut",57982
09003504900,"Census Tract 5049, Hartford County, Connecticut",43587
09003510100,"Census Tract 5101, Hartford County, Connecticut",42595
09003510200,"Census Tract 5102, Hartford County, Connecticut",48913
09003510300,"Census Tract 5103, Hartford County, Connecticut",45963
09003510400,"Census Tract 5104, Hartford County, Connecticut",53388
09003510500,"Census Tract 5105, Hartford County, Connecticut",62292
09003510600,"Census Tract 5106, Hartford County, Connecticut",39888
09003510700,"Census Tract 5107, Hartford County, Connecticut",76351
09003510800,"Census Tract 5108, Hartford County, Connecticut",68214
09003510900,"Census Tract 5109, Hartford County, Connecticut",83393
09003511000,"Census Tract 5110, Hartford County, Connecticut",107616
09003511100,"Census Tract 5111, Hartford County, Connecticut",99125
09003511200,"Census Tract 5112, Hartford County, Connecticut",49457
09003511300,"Census Tract 5113, Hartford County, Connecticut",40998
09003511400,"Census Tract 5114, Hartford County, Connecticut",86333
09003514101,"Census Tract 5141.01, Hartford County, Connecticut",96875
09003514103,"Census Tract 5141.03, Hartford County, Connecticut",91346
09003514104,"Census Tract 5141.04, Hartford County, Connecticut",84120
09003514200,"Census Tract 5142, Hartford County, Connecticut",71250
09003514300,"Census Tract 5143, Hartford County, Connecticut",81503
09003514400,"Census Tract 5144, Hartford County, Connecticut",58906
09003514500,"Census Tract 5145, Hartford County, Connecticut",76504
09003514600,"Census Tract 5146, Hartford County, Connecticut",55333
09003514700,"Census Tract 5147, Hartford County, Connecticut",42621
09003514800,"Census Tract 5148, Hartford County, Connecticut",58808
09003514900,"Census Tract 5149, Hartford County, Connecticut",97909
09003515000,"Census Tract 5150, Hartford County, Connecticut",112950
09003515101,"Census Tract 5151.01, Hartford County, Connecticut",114464
09003515102,"Census Tract 5151.02, Hartford County, Connecticut",76269
09003515200,"Census Tract 5152, Hartford County, Connecticut",103256
09003520100,"Census Tract 5201, Hartford County, Connecticut",143250
09003520201,"Census Tract 5202.01, Hartford County, Connecticut",169219
09003520202,"Census Tract 5202.02, Hartford County, Connecticut",161875
09003520301,"Census Tract 5203.01, Hartford County, Connecticut",94814
09003520302,"Census Tract 5203.02, Hartford County, Connecticut",86250
09003520400,"Census Tract 5204, Hartford County, Connecticut",140368
09003520501,"Census Tract 5205.01, Hartford County, Connecticut",156625
09003524100,"Census Tract 5241, Hartford County, Connecticut",126850
09003524200,"Census Tract 5242, Hartford County, Connecticut",82945
09003524300,"Census Tract 5243, Hartford County, Connecticut",95445
09003524400,"Census Tract 5244, Hartford County, Connecticut",41985
09003524501,"Census Tract 5245.01, Hartford County, Connecticut",43531
